	Fl_1	Fl_10	Fl_11	Fl_12	Fl_13	Fl_14	Fl_15	Fl_16	Fl_17	Fl_18	Fl_19	Fl_2	Fl_3	Fl_4	Fl_5	Fl_6	Fl_7	Fl_8	Fl_9	Fl_Arg_1	Fl_Arg_10	Fl_Arg_11	Fl_Arg_12	Fl_Arg_13	Fl_Arg_14	Fl_Arg_15	Fl_Arg_16	Fl_Arg_17	Fl_Arg_18	Fl_Arg_19	Fl_Arg_2	Fl_Arg_3	Fl_Arg_4	Fl_Arg_5	Fl_Arg_6	Fl_Arg_7	Fl_Arg_8	Fl_Arg_9
f9294d6959df108bf8ad51af22f79905	148.0	438.0	197.0	234.0	104.0	1762.0	427.0	342.0	283.0	296.0	219.0	252.0	325.0	317.0	344.0	226.0	406.0	314.0	99.0	252.0	177.0	504.0	498.0	333.0	74.0	540.0	560.0	191.0	1055.0	447.0	652.0	270.0	262.0	621.0	551.0	849.0	438.0	648.0
8ab3af6fccd55fef55e0430724517740	132.0	430.0	187.0	256.0	74.0	1728.0	379.0	299.0	267.0	228.0	240.0	238.0	310.0	327.0	345.0	255.0	438.0	321.0	97.0	269.0	190.0	472.0	471.0	274.0	68.0	494.0	529.0	180.0	978.0	520.0	609.0	289.0	253.0	596.0	567.0	953.0	407.0	654.0
1d29ea254350ca7d55a79cd2e152dcd1	136.0	388.0	175.0	220.0	87.0	1538.0	387.0	283.0	200.0	263.0	188.0	196.0	292.0	306.0	297.0	219.0	292.0	268.0	82.0	205.0	179.0	441.0	420.0	288.0	65.0	545.0	470.0	175.0	888.0	419.0	627.0	230.0	257.0	563.0	464.0	840.0	354.0	564.0
0352a5ac8f1b954317cfcfd62f1e016e	111.0	402.0	168.0	249.0	65.0	1521.0	328.0	270.0	225.0	236.0	173.0	193.0	319.0	280.0	328.0	198.0	296.0	263.0	75.0	264.0	155.0	391.0	413.0	285.0	62.0	533.0	457.0	140.0	793.0	440.0	521.0	219.0	219.0	521.0	508.0	839.0	370.0	555.0
79e0f596fc184df494931bf5268581c2	97.0	362.0	168.0	242.0	96.0	2018.0	505.0	301.0	176.0	317.0	169.0	173.0	236.0	243.0	456.0	189.0	307.0	199.0	84.0	187.0	134.0	406.0	373.0	314.0	41.0	401.0	400.0	125.0	648.0	324.0	602.0	254.0	202.0	436.0	336.0	623.0	294.0	526.0
17775316caac16c6000fac5996d6d801	110.0	349.0	157.0	179.0	93.0	1945.0	427.0	272.0	166.0	302.0	159.0	178.0	223.0	261.0	446.0	185.0	287.0	227.0	56.0	185.0	133.0	431.0	361.0	293.0	66.0	361.0	407.0	131.0	639.0	333.0	597.0	251.0	213.0	414.0	355.0	594.0	285.0	514.0
4f30d05d4c1c81dab7d3fd1a0700eb6c	92.0	316.0	144.0	226.0	107.0	1934.0	421.0	261.0	184.0	260.0	163.0	178.0	248.0	239.0	358.0	204.0	262.0	237.0	79.0	184.0	143.0	391.0	340.0	265.0	36.0	391.0	384.0	112.0	610.0	325.0	544.0	240.0	210.0	402.0	332.0	588.0	295.0	492.0
15578633b8c985c04f9a46cf38d23fd6	71.0	290.0	123.0	193.0	53.0	1481.0	326.0	228.0	175.0	183.0	139.0	135.0	215.0	194.0	314.0	161.0	232.0	168.0	75.0	172.0	112.0	287.0	300.0	235.0	48.0	366.0	316.0	127.0	498.0	279.0	440.0	188.0	140.0	331.0	310.0	525.0	240.0	421.0
3293b9cde12659f17d5cd883b4ca1187	93.0	269.0	124.0	185.0	61.0	1303.0	277.0	204.0	163.0	180.0	142.0	147.0	191.0	204.0	279.0	154.0	252.0	170.0	52.0	160.0	114.0	325.0	321.0	182.0	51.0	337.0	286.0	109.0	553.0	327.0	368.0	169.0	137.0	332.0	341.0	522.0	216.0	387.0
855fa307d6b6f4f154abaf999a5b0411	15.0	0.0	102.0	47.0	54.0	1417.0	69.0	235.0	127.0	177.0	160.0	0.0	146.0	376.0	502.0	243.0	80.0	0.0	93.0	236.0	234.0	447.0	233.0	186.0	57.0	263.0	113.0	61.0	344.0	400.0	488.0	0.0	187.0	1504.0	530.0	236.0	107.0	36.0
fda891891b3b45d4b026a4c6d4989633	65.0	71.0	97.0	56.0	54.0	1283.0	57.0	242.0	143.0	190.0	115.0	0.0	181.0	367.0	483.0	237.0	99.0	0.0	103.0	242.0	216.0	390.0	217.0	171.0	57.0	238.0	93.0	81.0	272.0	390.0	438.0	0.0	188.0	1493.0	450.0	190.0	118.0	0.0
9e76daa1109a7425f00d9391b5f14740	20.0	0.0	101.0	62.0	45.0	1240.0	62.0	215.0	106.0	170.0	130.0	0.0	148.0	315.0	470.0	248.0	59.0	0.0	80.0	195.0	189.0	364.0	178.0	232.0	56.0	217.0	117.0	88.0	295.0	410.0	451.0	0.0	196.0	1268.0	482.0	201.0	81.0	45.0
