function	Fl_1	Fl_10	Fl_11	Fl_12	Fl_13	Fl_14	Fl_15	Fl_16	Fl_17	Fl_18	Fl_19	Fl_2	Fl_3	Fl_4	Fl_5	Fl_6	Fl_7	Fl_8	Fl_9	Fl_Arg_1	Fl_Arg_10	Fl_Arg_11	Fl_Arg_12	Fl_Arg_13	Fl_Arg_14	Fl_Arg_15	Fl_Arg_16	Fl_Arg_17	Fl_Arg_18	Fl_Arg_19	Fl_Arg_2	Fl_Arg_3	Fl_Arg_4	Fl_Arg_5	Fl_Arg_6	Fl_Arg_7	Fl_Arg_8	Fl_Arg_9
K00001	150.67000000000002	601.0	538.0	409.25	724.5	2456.5	361.0	402.75	970.25	214.0	299.67	226.0	364.67	849.0799999999999	1571.0	469.67	242.42000000000002	447.0	905.0	63.5	482.0	841.0	475.75	501.25	253.75	97.0	722.75	533.0	362.5	584.25	933.0	190.67000000000002	1098.25	335.25	360.0	101.75	480.0	1283.75
K00002	58.0	73.0	343.0	58.0	49.0	195.5	45.0	197.0	89.0	166.0	60.0	0.0	221.0	232.0	0.0	0.0	0.0	0.0	111.0	41.0	389.0	0.0	0.0	210.0	90.0	32.0	102.0	50.5	139.0	0.0	0.0	64.0	46.0	53.0	114.0	0.0	0.0	0.0
K00003	9073.92	11450.25	10064.67	11255.16	9789.33	48312.09	11568.17	11117.42	8734.67	10758.42	9025.74	11523.75	9591.92	14083.09	11466.01	10407.08	10398.67	10381.68	10673.35	14081.18	11913.33	18561.58	14259.26	18190.75	6363.25	13362.41	18139.16	8375.75	24825.68	12849.17	12759.34	11138.5	11057.17	18274.33	12015.83	18010.17	18617.09	12548.0
K00004	1032.67	2310.0	1570.0	2030.0	2177.0	9069.0	1511.0	2098.0	1687.0	1818.0	1342.67	2350.0	1406.67	2597.33	1519.0	3361.67	1224.67	2553.0	1490.0	1002.0	907.0	1358.5	2528.0	3573.0	759.0	1393.0	1291.0	1937.75	2726.0	2246.0	1623.0	2271.67	1090.0	1800.0	1635.0	1543.0	3188.0	1125.0
K00005	2970.33	2571.0	2737.33	3722.66	3206.0	10176.67	2610.67	2558.87	2366.42	3477.0	2414.33	4449.0	2068.67	3411.5	2508.34	3993.67	2041.0	4267.01	1590.3400000000001	3483.01	1459.1	2201.17	2161.34	6962.66	1054.0	2534.66	1455.6599999999999	1452.67	4078.34	2630.0	1273.0	4349.0	980.0	1396.0	1881.0	3096.67	5968.01	522.0
K00007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00008	819.0	843.5	812.1700000000001	903.0	528.0	1891.5	1227.0	690.3299999999999	239.5	698.0	986.25	1805.5	721.5	832.5	566.0	387.0	1051.5	759.0	585.8299999999999	2258.5	743.5	1596.0	1097.67	855.5	282.5	1299.5	886.5	708.5	2011.5	313.5	285.0	1175.5	547.6700000000001	1438.0	483.75	1552.5	967.0	947.0
K00009	1037.0	638.0	1177.0	1576.0	210.0	2085.0	1375.0	603.2	474.0	1469.0	1310.0	1663.0	1393.0	1080.0	460.0	677.0	2041.0	983.0	583.0	2582.0	1405.1	3833.0	1806.0	1116.0	695.0	1955.0	1964.0	592.0	3565.0	977.0	1656.0	1312.0	542.0	2187.0	2129.0	3603.0	3480.0	934.0
K00010	1969.0	2905.0	729.67	1589.0	1971.0	4769.0	2086.0	2419.33	2320.0	1171.0	1197.0	1705.0	1429.0	2380.0	1675.0	2114.0	1609.0	1286.0	1422.33	5022.0	2325.0	5838.0	3366.67	1543.0	1173.0	2789.0	3138.0	2130.0	5574.0	3807.0	3480.0	1837.0	3886.67	3565.0	2898.0	3375.0	4652.0	5465.0
K00012	10217.0	11335.6	8128.42	10628.75	6278.5	44214.5	10382.5	11481.029999999999	9126.75	11090.099999999999	9568.7	9274.95	8492.5	13526.05	10778.42	8714.6	9089.25	8429.75	9600.28	13286.25	10018.1	13713.25	11641.67	15061.25	5442.0	13404.25	14873.6	7489.2	20096.0	11208.0	12563.5	10042.650000000001	9131.02	19511.75	12059.45	13250.0	13201.0	10554.25
