sample_id,condition,description
Fl_1,Fl,Fl1
Fl_2,Fl,Fl2
Fl_3,Fl,Fl3
Fl_4,Fl,Fl4
Fl_5,Fl,Fl5
Fl_6,Fl,Fl6
Fl_7,Fl,Fl7
Fl_8,Fl,Fl8
Fl_9,Fl,Fl9
Fl_10,Fl,Fl10
Fl_11,Fl,Fl11
Fl_12,Fl,Fl12
Fl_13,Fl,Fl13
Fl_14,Fl,Fl14
Fl_15,Fl,Fl15
Fl_Arg_1,Fl_Arg,Fl_Arg1
Fl_Arg_2,Fl_Arg,Fl_Arg2
Fl_Arg_3,Fl_Arg,Fl_Arg3
Fl_Arg_4,Fl_Arg,Fl_Arg4
Fl_Arg_5,Fl_Arg,Fl_Arg5
Fl_Arg_6,Fl_Arg,Fl_Arg6
Fl_Arg_7,Fl_Arg,Fl_Arg7
Fl_Arg_8,Fl_Arg,Fl_Arg8
Fl_Arg_9,Fl_Arg,Fl_Arg9
Fl_Arg_10,Fl_Arg,Fl_Arg10
Fl_Arg_11,Fl_Arg,Fl_Arg11
Fl_Arg_12,Fl_Arg,Fl_Arg12
Fl_Arg_13,Fl_Arg,Fl_Arg13
Fl_Arg_14,Fl_Arg,Fl_Arg14
Fl_Arg_15,Fl_Arg,Fl_Arg15
